,wikipedia,key,remote_ids,created,birth_date,name,latest_revision,last_modified,alternate_names,type,photos,revision,personal_name,death_date,source_records,id,bio,links,title,data,date,fuller_name,location,authors_key
4242,,/authors/OL9161676A,,"{'type': '/type/datetime', 'value': '2021-04-27T14:19:55.438212'}",,Herbert Hope Risley,1.0,"{'type': '/type/datetime', 'value': '2021-04-27T14:19:55.438212'}",,{'key': '/type/author'},,1,,,['amazon:034429241X'],,,,,,,,,/authors/OL9161676A
4243,,/authors/OL9120106A,,"{'type': '/type/datetime', 'value': '2021-03-17T07:48:43.660211'}",,Robert Louis Stevenson,1.0,"{'type': '/type/datetime', 'value': '2021-03-17T07:48:43.660211'}",,{'key': '/type/author'},,1,,,['amazon:9390382009'],,,,,,,,,/authors/OL9120106A
4244,,/authors/OL9120106A,,"{'type': '/type/datetime', 'value': '2021-03-17T07:48:43.660211'}",,Robert Louis Stevenson,1.0,"{'type': '/type/datetime', 'value': '2021-03-17T07:48:43.660211'}",,{'key': '/type/author'},,1,,,['amazon:9390382009'],,,,,,,,,/authors/OL9120106A
4245,,/authors/OL5138589A,,,,Augustus John Cuthbert Hare,,"{'type': '/type/datetime', 'value': '2008-09-26 08:52:48.882044'}",,{'key': '/type/author'},,1,Augustus John Cuthbert Hare,,,24976421.0,,,,,,,,/authors/OL5138589A
4246,,/authors/OL5464080A,,"{'type': '/type/datetime', 'value': '2008-10-16T14:25:18.498772'}",,Robert Paltock,,"{'type': '/type/datetime', 'value': '2008-10-16T14:25:18.498772'}",,{'key': '/type/author'},,1,Robert Paltock,,,27962544.0,,,,,,,,/authors/OL5464080A
4247,,/authors/OL5464080A,,"{'type': '/type/datetime', 'value': '2008-10-16T14:25:18.498772'}",,Robert Paltock,,"{'type': '/type/datetime', 'value': '2008-10-16T14:25:18.498772'}",,{'key': '/type/author'},,1,Robert Paltock,,,27962544.0,,,,,,,,/authors/OL5464080A
4248,,/authors/OL6088541A,,"{'type': '/type/datetime', 'value': '2008-10-27T16:17:51.412881'}",,Elizabeth Oakes Prince Smith,,"{'type': '/type/datetime', 'value': '2008-10-27T16:17:51.412881'}",,{'key': '/type/author'},,1,,,,30786341.0,,,,,,,,/authors/OL6088541A
4249,,/authors/OL6088541A,,"{'type': '/type/datetime', 'value': '2008-10-27T16:17:51.412881'}",,Elizabeth Oakes Prince Smith,,"{'type': '/type/datetime', 'value': '2008-10-27T16:17:51.412881'}",,{'key': '/type/author'},,1,,,,30786341.0,,,,,,,,/authors/OL6088541A
4250,,/authors/OL9175480A,,"{'type': '/type/datetime', 'value': '2021-05-01T23:13:18.721405'}",,California Agricultural Experim Station,1.0,"{'type': '/type/datetime', 'value': '2021-05-01T23:13:18.721405'}",,{'key': '/type/author'},,1,,,['amazon:0342152076'],,,,,,,,,/authors/OL9175480A
4251,,/authors/OL6010683A,,"{'type': '/type/datetime', 'value': '2008-10-27T03:09:36.416867'}",,Eugene Woldemar Hilgard,,"{'type': '/type/datetime', 'value': '2008-10-27T03:09:36.416867'}",,{'key': '/type/author'},,1,,,,30550142.0,,,,,,,,/authors/OL6010683A
4252,,/authors/OL9209207A,,"{'type': '/type/datetime', 'value': '2021-05-12T01:21:49.112056'}",,Ella S Armitage,1.0,"{'type': '/type/datetime', 'value': '2021-05-12T01:21:49.112056'}",,{'key': '/type/author'},,1,,,['amazon:0342117866'],,,,,,,,,/authors/OL9209207A
